ppc_draw,source_draw,abc_distance,eta,T_min,T_max,a,b,sigma_q,gamma0,gamma1,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm,n_lists,mu_latency_raw_pooled,mu_latency_raw_pooled_r2,mu_latency_raw_pooled_n,mu_latency_raw_pooled_n_bins,mu_latency_median_norm,mu_latency_median_norm_r2,mu_latency_median_norm_n,mu_latency_median_norm_n_bins,mu_semantic_pooled,mu_semantic_pooled_r2,mu_semantic_pooled_n,mu_semantic_pooled_n_bins,mu_semantic_tail_quantile,mu_semantic_tail_n_total,mu_semantic_tail_frac,mu_semantic_tail_pooled,mu_semantic_tail_pooled_r2,mu_semantic_tail_pooled_n,mu_semantic_tail_pooled_n_bins
42,931,0.4474508141596336,0.4064908327525905,1.2829278183139174,1.9638155579059713,1.1426630133651146,5.446800881757292,0.5995188785099108,-2.8324226580177148,2.544041461648593,11.7,0.9984041626901644,0.11279609136155401,1.1057514498917376,0.22257631257631258,0.5022997111062321,-2.095600379195207,0.1282285262782961,0.92,0.09191652791652791,3.2698961440699836,50.0,1.4241321252589245,0.9463861393354364,585.0,11.0,1.920839404105951,0.9280720858755864,306.0,12.0,-4.573478066346509,0.6425646217767809,535.0,12.0,0.8,535.0,0.205607476635514,24.11641946003978,0.7209878186246248,110.0,12.0
43,461,0.444679992200236,0.2680012467428085,1.063800284973783,2.65181602403099,-1.7169105633965676,2.407679822735457,0.5614020415473693,-2.267538846760047,1.729213094827649,13.34,0.9888345211716111,0.1210190019598423,1.1106501291956792,0.21401809791515672,0.5048960745414532,-2.2058455866535653,0.11869189454479112,1.3,0.10774973066149536,3.2213559140226535,50.0,1.6025658492008297,0.9022453667499284,667.0,11.0,2.2781190320313356,0.879569813587706,343.0,11.0,-4.298052681878011,0.7301422028116273,617.0,11.0,0.8,617.0,0.2025931928687196,16.5164885870776,0.7393477224405324,125.0,11.0
44,461,0.444679992200236,0.2680012467428085,1.063800284973783,2.65181602403099,-1.7169105633965676,2.407679822735457,0.5614020415473693,-2.267538846760047,1.729213094827649,13.32,0.9863920804826481,0.11999160876160397,1.11616862420867,0.21973681048913243,0.5054712986439923,-2.146137648730889,0.12340917042414291,1.74,0.14787860789021778,3.666582014389084,50.0,1.5316445214473757,0.9199718568871016,666.0,12.0,2.2683579185418763,0.9507246499539734,333.0,12.0,-3.6036467740424123,0.6389950198576302,616.0,10.0,0.8,616.0,0.20292207792207792,17.142235974742334,0.5147969096244562,125.0,11.0
45,931,0.4474508141596336,0.4064908327525905,1.2829278183139174,1.9638155579059713,1.1426630133651146,5.446800881757292,0.5995188785099108,-2.8324226580177148,2.544041461648593,11.3,1.0061707075407877,0.10957309041136469,1.1068911277083147,0.22174880674880673,0.5002000484422225,-2.1631667038721996,0.12337079219249025,0.94,0.09174814074814075,3.3944181513986003,50.0,1.3867413844363736,0.9250399312197443,565.0,12.0,1.8704537062289235,0.9762506120133495,285.0,11.0,-4.297386682334069,0.5166365789211235,515.0,12.0,0.8,515.0,0.20388349514563106,21.683587812776974,0.6864420383087276,105.0,12.0
46,43,0.4079763507836184,0.1834557177704566,0.3804042444085129,2.503934977028018,-1.6980584007989123,2.5414492087795124,0.4973941208714855,-1.3123091233115574,2.5952608083628776,10.76,1.007787434791077,0.11174713110503967,1.1165282163979091,0.2288201798201798,0.49968476777117316,-1.9713551731358254,0.145437096445821,1.42,0.15421323121323122,4.015522861292233,50.0,1.3629182237644648,0.9513194499368022,538.0,12.0,1.856405703713095,0.9611419448041779,287.0,12.0,-4.147614308010536,0.41291275887182866,488.0,10.0,0.8,488.0,0.21106557377049182,24.592239589694785,0.7090472101925062,103.0,11.0
47,95,0.3446513327623941,0.5065187221122291,0.8886107676139885,2.3073404212711237,0.4633909944468248,3.634015181603453,0.1647327035352512,-0.3563430677272312,1.0292242806044931,9.54,0.9965330225883159,0.1226383191042963,1.1080363972291742,0.21886724386724385,0.5029316762396155,-2.148595246281533,0.12224159293317047,1.24,0.14995093795093795,4.154314983644516,50.0,1.2327982974941178,0.916791109392793,477.0,12.0,1.8954677806623144,0.9598432953192811,241.0,12.0,-4.429607435473142,0.6021917358301494,427.0,10.0,0.8,427.0,0.2107728337236534,22.26444440534306,0.459301008575726,90.0,11.0
48,931,0.4474508141596336,0.4064908327525905,1.2829278183139174,1.9638155579059713,1.1426630133651146,5.446800881757292,0.5995188785099108,-2.8324226580177148,2.544041461648593,11.16,1.0020404125786961,0.10545303095201562,1.105842326448686,0.22005816405816409,0.501037657908163,-2.071995164164776,0.13351052826808404,1.16,0.11495054945054944,3.651000853963617,50.0,1.3881811751165516,0.9512842485011559,558.0,11.0,1.7309075044794386,0.9336808804698686,296.0,12.0,-3.812998397390072,0.40722912886238327,508.0,10.0,0.8,508.0,0.20078740157480315,23.051082100457993,0.5983135833300992,102.0,12.0
49,253,0.43675779931827646,0.2544192272744641,1.0798106147178492,1.7129042090973527,0.0133929333693196,1.6099761696595014,0.3218536574754648,-2.040976395712,2.0484082234544396,12.32,1.004963596728325,0.11220235260186008,1.1186856791435082,0.21627228327228326,0.5005004603095015,-2.105727207324743,0.1277576485159951,1.2,0.11214652014652014,3.3878870327106267,50.0,1.4576004383573775,0.9726019984514689,616.0,11.0,1.7277608726147975,0.9532001709599471,338.0,12.0,-4.615197535541102,0.6039136592019074,566.0,12.0,0.8,566.0,0.20141342756183744,19.534705483183213,0.6085086690275057,114.0,12.0
50,735,0.380679524018775,0.48745858329505,0.4859996808196458,2.7397505399843327,0.1339829376673385,4.83071104154498,0.261884071054414,0.5610958999020816,0.5904433859206818,11.12,0.9960173000135246,0.12881389398953622,1.1144106286635251,0.22508666333666333,0.5035039389603119,-2.2447445208835823,0.11577948194772703,1.2,0.12489310689310688,3.701453054696478,50.0,1.3324500892870597,0.9207873560707387,556.0,12.0,2.1151975465015105,0.960123356904959,290.0,12.0,-3.4338299132741277,0.775410735546834,506.0,10.0,0.8,506.0,0.20355731225296442,23.511102312511944,0.8574776226944987,103.0,11.0
51,968,0.3856766036681893,0.2678035754605854,0.6522674794265184,2.400321680884888,-1.8035515373285391,4.7203164408306,0.3249474209811079,-0.8459204851370683,1.4000764981974223,9.66,0.9897083832520615,0.12142322362267642,1.1005260746525882,0.22752292152292153,0.5046839929727914,-2.2297189479038826,0.11611370636523358,1.18,0.14191186591186591,4.062958381445931,50.0,1.284235604103883,0.9221209546130154,483.0,12.0,1.808116941099487,0.9514302743301029,256.0,12.0,-3.6241921566067936,0.6415599247003163,433.0,10.0,0.8,433.0,0.20323325635103925,20.171162187306948,0.582188043132016,88.0,12.0
