source,subject,trial,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm
human,oaf_10368,1.10368,14.0,1.0685643819062314,0.14697748404854907,1.2183345998369417,0.25,0.48567114288351576,-2.021493088086234,0.1324575465772846,2.0,0.15384615384615385,3.7488946019304343
human,oaf_10376,1.10376,17.0,1.0561186871450212,0.12139466344623427,1.1837634232120655,0.2222222222222222,0.4879244917946892,-1.9139659230020958,0.1474942741906627,2.0,0.125,2.964979546965805
human,oaf_10376,3.10376,21.0,0.9838770695715977,0.09007931676432447,1.0762407173743995,0.2,0.5050437471920349,-1.4032630092804135,0.24579362712027072,3.0,0.15,2.9197594736796333
human,oaf_10384,1.10384,25.0,1.0366848193264653,0.1240116602761876,1.1766677548383158,0.23529411764705882,0.49273555505731514,-1.6863974272040902,0.18518546784579692,7.0,0.2916666666666667,5.874539400393461
human,oaf_10384,3.10384,16.0,0.969097603128617,0.100667909957567,1.088604983289674,0.18181818181818182,0.5090660093200806,-1.7405638660155174,0.17542145852572186,5.0,0.3333333333333333,6.226284565287348
human,oaf_10385,1.10385,8.0,1.0838490670248837,0.15834924423152183,1.2321642386631348,0.2857142857142857,0.48235934304035366,-1.7562496174400501,0.17269130933113347,1.0,0.14285714285714285,4.316724711859692
human,oaf_10389,1.10389,26.0,1.0725027826716336,0.12929091845695928,1.1806001223794227,0.2,0.4843614089881882,-1.298504736744454,0.272939604626967,5.0,0.2,3.6132343820719184
human,oaf_10389,3.10389,27.0,1.0135520483912126,0.11715322437289238,1.1197026823871745,0.2222222222222222,0.4983223909168352,-1.3296894468001792,0.2645594083144494,5.0,0.19230769230769232,3.351929363750375
human,oaf_10389,4.10389,23.0,1.0971543922451183,0.1519628273377053,1.2662003962359032,0.21428571428571427,0.47929331826856486,-1.4602776528299641,0.2321718026217056,6.0,0.2727272727272727,5.397149437036547
human,oaf_10391,1.10391,7.0,0.9879781178562164,0.08773557742058158,1.0462042457756353,0.16666666666666666,0.5038899925938436,-1.7160570264908752,0.17977359479469052,1.0,0.16666666666666666,4.578029730181235
human,oaf_10408,1.10408,30.0,1.015439881290346,0.1510496951609746,1.1978940127884816,0.21052631578947367,0.4989093367162222,-1.609565870578637,0.1999744100083515,9.0,0.3103448275862069,6.568014308785746
